ESTABLECIMIENTO,PROVINCIA,MUNICIPIO,TITULAR,DIRECCIÓN,DEPARTAMENTO DE SALUD,ZONA ZBS,ZONA FARMACÉUTICA
A-71-F,ALICANTE,Alcoi / Alcoy,JOAQUIN GOMEZ SANSALONI,"Carrer de Sant Nicolau, 5, 03801",15,1,9
A-7-F,ALICANTE,Alcoi / Alcoy,JOSE RAMON DE ORTE ABAD,"Avinguda de Carmen Vidal, S/N, 03804",15,3,9
A-82-F,ALICANTE,Alcoi / Alcoy,MANUEL GUTIERREZ MIRÓ,"Carrer de Sant Isidre, 18, 03803",15,2,9
A-539-F,ALICANTE,Alfafara,Mª ISABEL RUFETE SAEZ,"Avinguda de Generalitat Valenciana, 24, 03838",15,9,15
A-290-F,ALICANTE,l'alfàs Del Pi,MIGUEL ANGEL CRIADO FUSTER,"Carrer de Ferreria (la), 19, 03580",16,1,16
A-350-F,ALICANTE,l'alfàs Del Pi,MARÍA NATIVIDAD LLORCA MAYOR,"Carrer de Pau Casals, 5, 03581",16,1,16
A-480-F,ALICANTE,l'alfàs Del Pi,MARINA CRIADO FUSTER,"Avinguda de Albir (lÂ´), 44, 03581",16,1,16
A-669-F,ALICANTE,l'alfàs Del Pi,ROSA FRANCISCA BUADES GOMIS,"Carrer de Federico Garcia Lorca, 19, 03580",16,1,16
A-727-F,ALICANTE,l'alfàs Del Pi,MANUEL CARLOS RECHE MORENO,"Carrer de Poeta Miguel Hernandez, 1, 03580",16,1,16
A-749-F,ALICANTE,l'alfàs Del Pi,MARTA MAYOR SEGRELLES,"CAMI VELL DE ALTEA S/N, EDIFICIO ALBIR CENTER, LOCAL 2 (PLAYA DEL ALBIR), , 03580",16,1,16
A-767-F,ALICANTE,l'alfàs Del Pi,Mª EUGENIA GARCIA ZARAGOZA,"Avinguda de Pais Valencia, 38, 03580",16,1,16
A-835-F,ALICANTE,l'alfàs Del Pi,ANA MARIA BARTOLOME GISBERT,"Carrer de Bulevard dels Musics, 18, 03581",16,1,16
A-435-F,ALICANTE,Algorfa,JUAN MANUEL MEDINA MUÑOZ,"Avinguda de Maria del Mar Rodriguez, 32, 03169",21,2,36
A-209-F,ALICANTE,Algueña,ROSA Mª TORTOSA BOJ,"Avinguda de Constitucion (la), 13, 03668",18,8,30
A-105-F,ALICANTE,Alacant / Alicante,CARMEN SANTAMARIA MORENO,"PLAZA Constitucion, 3, 03112",19,7,21
A-108-F,ALICANTE,Alacant / Alicante,CONCEPCION CANALES MIRA,"Carrer de General Lacy, 12, 03003",17,1,21
A-109-F,ALICANTE,Alacant / Alicante,ALEJANDRO GARCIA-NOBLEJAS JULIA,"Avinguda de BENITO PEREZ GALDOS, 19, 03004",17,1,21
A-115-F,ALICANTE,Alacant / Alicante,MARIA DOLORES RODRIGUEZ ESTELLA,"Avinguda de Alcoy, 10, 03010",19,1,21
A-116-F,ALICANTE,Alacant / Alicante,MARIA JOAQUINA BARQUERO ORTIZ,"Avinguda de Aguilera, 44, 03006",19,3,21
A-117-F,ALICANTE,Alacant / Alicante,"FE MARIA BALLESTERO FERRER, ARANTZAZU GREDIAGA BALLESTERO","Carrer de Maruja Pastor, 7, 03540",17,5,21
A-119-F,ALICANTE,Alacant / Alicante,Mª DOLORES LLORET LUNA,"Avinguda de Historiador Vicente Ramos, 28, 03540",17,5,21
A-120-F,ALICANTE,Alacant / Alicante,"MONSERRAT BOVET LOPEZ, FRANCISCO GARCIA LACAL","Carrer de Reyes Catolicos, 33, 03003",17,1,21
A-121-F,ALICANTE,Alacant / Alicante,SUSANA VICENTE MARTINEZ,"PLAZA Pio XII, 7, 03013",17,3,21
A-124-F,ALICANTE,Alacant / Alicante,TOMAS LLORET SANCHEZ,"Avinguda de General Marva, 10, 03004",17,1,21
A-125-F,ALICANTE,Alacant / Alicante,MARIA GRACIA RODES LLORET,"PLAZA DIVISION AZUL, 3, 03008",19,2,21
A-127-F,ALICANTE,Alacant / Alicante,"JOSE RAMON BERNA CARBONELL, MARIA JESUS QUILES LLORENS","Carrer de Gerona, 1A, 03001",17,2,21
A-128-F,ALICANTE,Alacant / Alicante,IÑAKI MALLUGUIZA CALVO,"Avinguda de Alfonso el Sabio, 13, 03001",17,1,21
A-12-F,ALICANTE,Alacant / Alicante,MILAGROS LOPEZ MARTINEZ,"Avinguda de ALCOY, 90, 03009",19,1,21
A-131-F,ALICANTE,Alacant / Alicante,Mª JESÚS REDONDO MARÍN,"Carrer de Virgen del Socorro, 19, 03002",17,2,21
A-135-F,ALICANTE,Alacant / Alicante,ISABEL COLMEIRO AYELA,"Avinguda de Juan Bautista Lafora, 3, 03002",17,2,21
A-137-F,ALICANTE,Alacant / Alicante,ELENA LLINARES CAMACHO,"Carrer de Pedreguer, 10, 03008",19,2,21
A-143-F,ALICANTE,Alacant / Alicante,LUIS ORTEGA CASTRO,"Carrer de Santa Felicitas, 7, 03005",19,4,21
A-147-F,ALICANTE,Alacant / Alicante,ANABEL ALBALA CANO,"Avinguda de Deportista Miriam Blasco, 4, 03540",17,5,21
A-152-F,ALICANTE,Alacant / Alicante,BEATRIZ PEÑA GONZALEZ,"Avinguda de DE LA CONSTITUCION, 9, 03002",17,2,21
A-153-F,ALICANTE,Alacant / Alicante,"JOSE CARLOS ROVIRA DE MIGUEL, JUAN MANUEL ROVIRA DE MIGUEL","Avinguda de Aguilera, 19, 03007",19,2,21
A-157-F,ALICANTE,Alacant / Alicante,FRANCISCO JOSE BARBERA MOLINA,"Avinguda de Jaime I, 8, 03009",19,5,21
A-165-F,ALICANTE,Alacant / Alicante,MARIA LAHOZ BENEYTEZ,"Avinguda de Alfonso el Sabio, 18, 03004",17,2,21
A-166-F,ALICANTE,Alacant / Alicante,MARTA  FRANCO GIMENEZ,"Avinguda de Deportista Isabel Fernandez, 2, 03005",19,4,21
A-172-F,ALICANTE,Alacant / Alicante,ANA MARIA CREMADES SIRVENT,"Avinguda de Federico Soto, 24, 03001",17,1,21
A-177-F,ALICANTE,Alacant / Alicante,MARIA TERESA ORTIN ROMERO,"PLAZA Calvo Sotelo, 1, 03001",17,1,21
A-187-F,ALICANTE,Alacant / Alicante,MERCEDES AZPETEGUIA SANJURJO,"Carrer de Teatro, 9, 03001",17,1,21
A-193-F,ALICANTE,Alacant / Alicante,PASCUAL MARTI ROSILLO,"Avinguda de Goleta, 7, 03540",17,5,21
A-194-F,ALICANTE,Alacant / Alicante,"JOSE MARTINEZ TAMAYO, MARIA JOSE MARTINEZ LUCAS","Rambla de Mendez NuÃ±ez, 39, 03002",17,2,21
A-195-F,ALICANTE,Alacant / Alicante,CARLOS VAN DER HOFSTADT POYATOS,"Carrer de Valencia, 1, 03012",17,2,21
A-196-F,ALICANTE,Alacant / Alicante,JUAN MIGUEL POL YANGUAS,"Carrer de Padre Espla, 37, 03013",17,3,21
A-207-F,ALICANTE,Alacant / Alicante,CRISTINA SMETS SOLER,"Carrer de Peru, 14, 03008",19,2,21
A-212-F,ALICANTE,Alacant / Alicante,FRANCISCO PLANA ESPASA,"Carrer de San Carlos, 67, 03012",17,3,21
A-213-F,ALICANTE,Alacant / Alicante,Mª TERESA TENDERO RIUS,"Carrer de Maestro Alonso, 156, 03012",19,6,21
A-214-F,ALICANTE,Alacant / Alicante,SERGIO RIGUAL BONASTRE,"Carrer de Italia, 23, 03003",17,1,21
A-217-F,ALICANTE,Alacant / Alicante,JOSEFINA RODRIGUEZ CLAVEL,"Avinguda de ESTACION, 20, 03005",17,1,21
A-219-F,ALICANTE,Alacant / Alicante,Mª JOSE SAMPER GILABERT,"Carrer de Rafael Altamira, 1, 03002",17,2,21
A-21-F,ALICANTE,Alacant / Alicante,MARTA LOPEZ-MELIDA BOLUFER,"Avinguda de Goleta, 25, 03540",17,5,21
A-236-F,ALICANTE,Alacant / Alicante,CELIA LUZ RUIZ,"Carrer de Mayor, 29, 03002",17,2,21
A-237-F,ALICANTE,Alacant / Alicante,Mª ENCARNACIÓN TORREGROSA BROTONS,"Carrer de Doctora Matilde Perez Jover, 1, 03005",19,4,21
A-242-F,ALICANTE,Alacant / Alicante,MARIA AMPARO SERVER ORTOLA,"Avinguda de ORIHUELA, 106, 03006",19,3,21
A-248-F,ALICANTE,Alacant / Alicante,"J. FERNANDO TOLEDANO IVORRA, ALEJANDRO TOLEDANO IVORRA","Carrer de San Mateo, 24, 03013",17,3,21
A-252-F,ALICANTE,Alacant / Alicante,MARIA LUZ MARIA GOSALBEZ,"DIPUTADO ANTONIO GARCIA MIRALLES, S/N, 03014",19,6,21
A-253-F,ALICANTE,Alacant / Alicante,EDUARDO LUIS TRIVES LOMBARDERO,"Carrer de Calderon de la Barca, 8, 03004",17,2,21
A-25-F,ALICANTE,Alacant / Alicante,ELENA CALATAYUD CALPENA,"Carrer de Pardo Jimeno, 22, 03007",19,2,21
A-261-F,ALICANTE,Alacant / Alicante,"ALBERTO JIMENEZ BUENDIA, ENCARNACION RIBERA PEREZ","Carrer de Foglietti, 38, 03007",19,2,21
A-263-F,ALICANTE,Alacant / Alicante,EULOGIO TAVERNER TORRENT,"Avinguda de Novelda, 83, 03009",19,5,21
A-276-F,ALICANTE,Alacant / Alicante,ENRIQUE TRIVES PRADA,"Carrer de Foguerer, 2, 03012",19,6,21
A-282-F,ALICANTE,Alacant / Alicante,JAVIER T. CASARES BENLLOCH,"Carrer de Maestro Luis Torregrosa, 9, 03013",17,3,21
A-292-F,ALICANTE,Alacant / Alicante,LUIS MARTINEZ PEDAUYE,"Avinguda de Condomina, 36, 03540",17,5,21
A-297-F,ALICANTE,Alacant / Alicante,ALEJANDRO DORMIDO GARROSA,"Carrer de Jose Garcia Selles, 1, 03015",17,3,21
A-2-F,ALICANTE,Alacant / Alicante,BEGOÑA MARTINEZ ALARCON,"Avinguda de Alfonso el Sabio, 4, 03004",17,2,21
A-302-F,ALICANTE,Alacant / Alicante,CRISTINA CASARES BENLLOCH,"Carrer de Arzobispo Loaces, 8, 03003",17,1,21
A-305-F,ALICANTE,Alacant / Alicante,BLANCA R. BARBERO MILLAN,"Carrer de Doctor Sapena, 26, 03013",17,3,21
A-308-F,ALICANTE,Alacant / Alicante,JUAN ANTONIO MARTINEZ GALIPIENSO,"Carrer de Olivino, 6, 03014",19,6,21
A-312-F,ALICANTE,Alacant / Alicante,Mª JOSE HIDALGO NAVARRO,"Avinguda de Historiador Vicente Ramos, B1Z, 03540",17,5,21
A-318-F,ALICANTE,Alacant / Alicante,"Mª CARMEN PAJARES GUTIERREZ, DAVID JOSE LLORET PAJARES","Carrer de Garcia Andreu, 44, 03007",19,2,21
A-31-F,ALICANTE,Alacant / Alicante,JOSE MIGUEL RUIZ FERNANDEZ,"PLAZA Calvo Sotelo, 9, 03003",17,1,21
A-320-F,ALICANTE,Alacant / Alicante,LAURA PEREZ MARTINEZ,"Carrer de Rosalia de Castro, 6, 03010",19,5,21
A-322-F,ALICANTE,Alacant / Alicante,MARIA LUISA PONCE DE LEON DEL BELLO,"Carrer de Orense, 2, 03003",17,1,21
A-324-F,ALICANTE,Alacant / Alicante,CRISTINA YOLANDA GONZALEZ SANCHEZ,"Carrer de Inmaculada del Pla, 12, 03013",17,3,21
A-327-F,ALICANTE,Alacant / Alicante,MARIA INMACULADA UBIETA TORRES,"PLAZA ARGEL, 3, 03011",19,7,21
A-329-F,ALICANTE,Alacant / Alicante,ALFONSO PABLO MORENO DE ARCOS MORA,"Carrer de Poeta Garcilaso, 6, 03005",19,4,21
A-331-F,ALICANTE,Alacant / Alicante,MARIA DOLORES BOTELLA BALLESTEROS,"Carrer de Gorga, 9, 03014",19,6,21
A-332-F,ALICANTE,Alacant / Alicante,JUAN FERNANDEZ DE PALENCIA GREGORIO,"Carrer de Mexico, 27, 03008",19,2,21
A-333-F,ALICANTE,Alacant / Alicante,MARIA DE LOS ANGELES GARCIA TORRENT,"Avinguda de Pintor Xavier Soler, 13, 03015",17,3,21
A-344-F,ALICANTE,Alacant / Alicante,RAQUEL  GARCIA  ESCOLANO,"Carrer de Cruz del Sur, 45, 03006",19,3,21
A-346-F,ALICANTE,Alacant / Alicante,FRANCISCA URIS SELLES,"Carrer de Los Montesinos, 7, 03015",17,3,21
A-348-F,ALICANTE,Alacant / Alicante,MARIA JOSÉ COSTA BALLESTER,"Avinguda de PINTOR BAEZA, 8, 03010",19,1,21
A-34-F,ALICANTE,Alacant / Alicante,"Mª CARMEN FUENTES SIRVENT, Mª CONSOLACION FUENTES SIRVENT","Carrer de Sevilla, 99, 03012",19,1,21
A-352-F,ALICANTE,Alacant / Alicante,"Mª LUISA PEIRO BLANCO, LUIS NUÑEZ CASTILLO","Avinguda de Benito Perez Galdos, 47-49, 03005",17,1,21
A-354-F,ALICANTE,Alacant / Alicante,RAIMUNDA LÓPEZ SÁNCHEZ,"Carrer de Presbitero B. Carrasco, 34, 03005",19,4,21
A-356-F,ALICANTE,Alacant / Alicante,"NURIA BECERRA VILAPLANA, RAFAEL FERNANDEZ RODRIGUEZ","Carrer de Eduardo Langucha, 3, 03006",19,3,21
A-357-F,ALICANTE,Alacant / Alicante,ALBERTO GARCIA LOPEZ,"Carrer de Padre Espla, 63, 03013",17,3,21
A-35-F,ALICANTE,Alacant / Alicante,Mª FRANCISCA MONTOLIU BLASCO,"Carrer de Adolfo MuÃ±oz Alonso, 12, 03005",19,4,21
A-363-F,ALICANTE,Alacant / Alicante,JOSE LUIS ARQUES SOLER,"Avinguda de Holanda, S/N, 03540",17,5,21
A-368-F,ALICANTE,Alacant / Alicante,FERNANDO CABRERA TORRES,"Carrer de Periodista Fco.Bas Mingot, 71, 03015",17,4,21
A-369-F,ALICANTE,Alacant / Alicante,ANGEL MARIA SIERRA ROMERO,"PLAZA Joaquin Maria Lopez, 12, 03009",19,5,21
A-380-F,ALICANTE,Alacant / Alicante,MARIA HELENA DEL RIO AYALA,"Carrer de Martin Luther King, 9, 03010",19,6,21
A-381-F,ALICANTE,Alacant / Alicante,MARIA DOLORES MOYANO CHICOY,"Avinguda de NOVELDA, 38, 03010",19,6,21
A-382-F,ALICANTE,Alacant / Alicante,JULIA BENLLOCH PEREZ,"Carrer de San Mateo, 64, 03013",17,3,21
A-385-F,ALICANTE,Alacant / Alicante,PURIFICACION RUIZ MEGIAS,"Carrer de General Millan Astray, 58, 03008",19,2,21
A-387-F,ALICANTE,Alacant / Alicante,MARIA LUISA MOLTO CALABUIG,"Carrer de SOCIEDAD CULTURAL Y DEPORTIVA BETIS-FLORIDA, 15, 03007",19,3,21
A-389-F,ALICANTE,Alacant / Alicante,"ANTONIO JOSE PARDO GONZALEZ, CARMEN NAVARRO GONZALEZ","Avinguda de SANTANDER, S/N, 03540",17,5,21
A-393-F,ALICANTE,Alacant / Alicante,DAVID TOLEDANO MARTOS,"Carrer de Virgen de la Salud, 7, 03009",19,5,21
A-396-F,ALICANTE,Alacant / Alicante,Mª DEL CARMEN ESTEBAN DELGADO,"Carrer de Tato, 3, 03005",19,4,21
A-398-F,ALICANTE,Alacant / Alicante,MARIA TERESA MATAIX PEREZ,"Carrer de Navas (las), 22, 03001",17,1,21
A-404-F,ALICANTE,Alacant / Alicante,LUIS FELIPE GIMENO DE CASTRO,"SIERRA MARIOLA, G, , 03011",19,7,21
A-406-F,ALICANTE,Alacant / Alicante,"MARIA JESUS LOZANO JIMENEZ, ELIAS JOSE OTERO LOZANO","Avinguda de Denia, S/N, 03016",17,3,21
A-409-F,ALICANTE,Alacant / Alicante,MARIA TERESA REDONDO MARIN,"Carrer de Benissa, 2, 03014",19,6,21
A-40-F,ALICANTE,Alacant / Alicante,JOSE CLIMENT MECHO,"Carrer de General Espartero, 78, 03012",19,6,21
A-411-F,ALICANTE,Alacant / Alicante,SILVIA VIVES PEREZ,"Carrer de Santa Maria Mazzarello, 3, 03007",19,2,21
A-413-F,ALICANTE,Alacant / Alicante,ADELINA RIPOLL LINARES,"Avinguda de Oscar Espla, 25, 03007",19,2,21
A-414-F,ALICANTE,Alacant / Alicante,ALMUDENA MARIA SERRANO GUILLEN,"Carrer de Auso y Monzo, 14, 03006",19,3,21
A-41-F,ALICANTE,Alacant / Alicante,PILAR TRIVES PRADA,"Carrer de Angel Celdran Carratala, 2, 03006",19,3,21
A-420-F,ALICANTE,Alacant / Alicante,CRISTINA ANDRÉS CERVERA,"Avinguda de Conde de Lumiares, 38, 03010",19,1,21
A-421-F,ALICANTE,Alacant / Alicante,MARIA JOSEFA PEREZ BERNABEU,"Carrer de Bono Guarner, 46, 03005",19,4,21
A-422-F,ALICANTE,Alacant / Alicante,VERONICA AZNAR BEVIA,"Carrer de Javea, 96, 03009",19,1,21
A-425-F,ALICANTE,Alacant / Alicante,MARIA ANGELES ORTS LLINARES,"Avinguda de Cardenal Francisco Alvarez, 12, 03005",17,1,21
A-428-F,ALICANTE,Alacant / Alicante,JOAQUINA ISABEL RANGEL RAMAJO,"Carrer de ARTURO, 23, 03007",19,6,21
A-431-F,ALICANTE,Alacant / Alicante,CARMEN TEROL VALLS,"Avinguda de VILLAJOYOSA, 18, 03016",17,3,21
A-433-F,ALICANTE,Alacant / Alicante,ANA LUISA VICEDO JORDAN,"Carrer de Ciudad Real, 21, 03005",19,3,21
A-438-F,ALICANTE,Alacant / Alicante,ALBERTO ALZAMORA BUIZA,"Carrer de Primavera, 19, 03012",19,6,21
A-439-F,ALICANTE,Alacant / Alicante,MARIA DEL MAR MAHIQUEZ BUJANDA,"Carrer de CastaÃ±os, 9, 03001",17,5,21
A-440-F,ALICANTE,Alacant / Alicante,JOSE BOLUFER VIGRANA,"Avinguda de Costa Blanca, 148, 03540",19,3,21
A-441-F,ALICANTE,Alacant / Alicante,MARIA PILAR GALIANA GARCIA,"Carrer de Gran Via, 1, 03009",17,3,21
A-442-F,ALICANTE,Alacant / Alicante,"JUAN JOSE BORONAT ARANDA, DESAMPARADOS RAMOS RAMIS","Carrer de Ruiz de Alarcon, 5, 03009",19,5,21
A-443-F,ALICANTE,Alacant / Alicante,MARIA ASUNCIÓN BACH BUENDIA,"Carrer de Capitan Segarra, 11, 03004",19,3,21
A-448-F,ALICANTE,Alacant / Alicante,ANA GINER MONTOYO,"Carrer de Francisco Carratala Cern., 23, 03010",17,1,21
A-452-F,ALICANTE,Alacant / Alicante,"MARIA DOLORES CHICOY MASSA, ROSA MARIA MOYANO CHICOY","Avinguda de Maisonnave, 45, 03003",19,7,21
A-459-F,ALICANTE,Alacant / Alicante,IGNACIO MANUEL MEDINA GALVEZ,"Carrer de Antonio Noguera, 5, 03014",19,7,21
A-460-F,ALICANTE,Alacant / Alicante,MIGUEL ANTONIO CAMACHO MARTINEZ,"Carrer de San Pablo, 69, 03012",19,4,21
A-461-F,ALICANTE,Alacant / Alicante,PILAR MIRALLES DEL POZO,"Avinguda de G.V.Conde de Casa-Rojas, 3, 03006",19,2,21
A-463-F,ALICANTE,Alacant / Alicante,"MARIA SANCHEZ RODRIGUEZ, JOAQUIN ELIER SANCHEZ RODRIGUEZ","Carrer de Daya Vieja, 17, 03010",19,5,21
A-468-F,ALICANTE,Alacant / Alicante,TOMAS CASARES RODRIGUEZ,"Avinguda de Costa Blanca, 128, 03540",19,4,21
A-477-F,ALICANTE,Alacant / Alicante,ROQUE LUIS ROLDAN GUTIERREZ,"Carrer de Asturias, 2, 03007",19,3,21
A-478-F,ALICANTE,Alacant / Alicante,VIRTUDES RUIZ ORTUÑO,"Carrer de Hermanos Doctores Server Cerda, 2, 03015",17,5,21
A-479-F,ALICANTE,Alacant / Alicante,FRANCISCO ESCOLANO GARCIA,"Carrer de Cerda, 108, 03009",19,4,21
A-488-F,ALICANTE,Alacant / Alicante,CONCEPCION GALIANA GARCIA,"Carrer de VICENTE CHAVARRI, 18, 03007",19,6,21
A-48-F,ALICANTE,Alacant / Alicante,MARIA ENCARNACION PAEZ CLAVERO,"Carrer de Italia, 39, 03003",17,1,21
A-492-F,ALICANTE,Alacant / Alicante,JUAN ANTONIO DOMENECH BONET,"Carrer de Musico Alfosea, S/N, 03011",17,5,21
A-502-F,ALICANTE,Alacant / Alicante,"LUIS EDUARDO MORENO MUÑOZ, MERCEDES MANTECA PEREZ","Carrer de Pintor Peyret, 38, 03011",19,5,21
A-511-F,ALICANTE,Alacant / Alicante,CONCEPCION TORRAS SANCHEZ,"Carrer de Concejal Lorenzo Llaneras, 9, 03005",19,5,21
A-55-F,ALICANTE,Alacant / Alicante,MIGUEL ANGEL ALVADO PEREZ,"Avinguda de Alcalde Lorenzo Carbonell, 16, 03007",17,2,21
A-56-F,ALICANTE,Alacant / Alicante,PEDRO BELDA CALATAYUD,"Carrer de CANALEJAS, 5, 03001",17,1,21
A-582-F,ALICANTE,Alacant / Alicante,BEATRIZ FLORES ARGENTE,"Carrer de Pintor Antonio Amoros, 2, 03015",17,4,21
A-583-F,ALICANTE,Alacant / Alicante,MARIA JOSE ZARAGOZA BERNAL,"Carrer de Ramon Gomez Sempere, 28, 03008",19,2,21
A-586-F,ALICANTE,Alacant / Alicante,TOMAS SANCHEZ COBO,"PASEO Mayor, 30, 03113",19,3,21
A-596-F,ALICANTE,Alacant / Alicante,CARMEN BOLUFER VIGRANA,"Avinguda de Costa Blanca, 21, 03540",17,5,21
A-602-F,ALICANTE,Alacant / Alicante,PALOMA PAYNO DE ORIVE,"CENTRO COMERCIAL PAU, SUBLOCAL 4-2, , 03540",17,5,21
A-60-F,ALICANTE,Alacant / Alicante,CONCEPCION DOMINGUEZ GALBIS,"Carrer de Plus Ultra, 11, 03012",19,1,21
