ESTABLECIMIENTO,PROVINCIA,MUNICIPIO,TITULAR,DIRECCIÓN,DEPARTAMENTO DE SALUD,ZONA ZBS,ZONA FARMACÉUTICA
A-7-F,ALICANTE,ALCOY/ALCOI,JOSE RAMON DE ORTE ABAD,"AV Carmen Vidal, S/N, 03804",15,3,9
A-82-F,ALICANTE,ALCOY/ALCOI,MANUEL GUTIERREZ MIRÓ,"C/ Sant Isidre, 18, 03803",15,2,9
A-539-F,ALICANTE,ALFAFARA,Mª ISABEL RUFETE SAEZ,"AV Generalitat Valenciana, 24, 03838",15,9,15
A-290-F,ALICANTE,ALFAS DEL PI (L'),MIGUEL ANGEL CRIADO FUSTER,"CARRE Ferreria (la), 19, 03580",16,1,16
A-350-F,ALICANTE,ALFAS DEL PI (L'),MARÍA NATIVIDAD LLORCA MAYOR,"CARRE Pau Casals, 5, 03581",16,1,16
A-480-F,ALICANTE,ALFAS DEL PI (L'),MARINA CRIADO FUSTER,"AV Albir (lÂ´), 44, 03581",16,1,16
A-669-F,ALICANTE,ALFAS DEL PI (L'),ROSA FRANCISCA BUADES GOMIS,"CARRE Federico Garcia Lorca, 19, 03580",16,1,16
A-727-F,ALICANTE,ALFAS DEL PI (L'),MANUEL CARLOS RECHE MORENO,"CARRE Poeta Miguel Hernandez, 1, 03580",16,1,16
A-749-F,ALICANTE,ALFAS DEL PI (L'),MARTA MAYOR SEGRELLES," CAMI VELL DE ALTEA S/N, EDIFICIO ALBIR CENTER, LOCAL 2 (PLAYA DEL ALBIR), , 03580",16,1,16
A-767-F,ALICANTE,ALFAS DEL PI (L'),Mª EUGENIA GARCIA ZARAGOZA,"AV Pais Valencia, 38, 03580",16,1,16
A-835-F,ALICANTE,ALFAS DEL PI (L'),ANA MARIA BARTOLOME GISBERT,"CARRE Bulevard dels Musics, 18, 03581",16,1,16
A-435-F,ALICANTE,ALGORFA,JUAN MANUEL MEDINA MUÑOZ,"AVDA Maria del Mar Rodriguez, 32, 03169",21,2,36
A-209-F,ALICANTE,ALGUEÑA,ROSA Mª TORTOSA BOJ,"AVDA Constitucion (la), 13, 03668",18,8,30
A-105-F,ALICANTE,ALICANTE/ALACANT,CARMEN SANTAMARIA MORENO,"PLAZA Constitucion, 3, 03112",19,7,21
A-108-F,ALICANTE,ALICANTE/ALACANT,CONCEPCION CANALES MIRA,"CALLE General Lacy, 12, 03003",17,1,21
A-109-F,ALICANTE,ALICANTE/ALACANT,ALEJANDRO GARCIA-NOBLEJAS JULIA,"AVDA BENITO PEREZ GALDOS, 19, 03004",17,1,21
A-115-F,ALICANTE,ALICANTE/ALACANT,MARIA DOLORES RODRIGUEZ ESTELLA,"AVDA Alcoy, 10, 03010",19,1,21
A-116-F,ALICANTE,ALICANTE/ALACANT,MARIA JOAQUINA BARQUERO ORTIZ,"AVDA Aguilera, 44, 03006",19,3,21
A-117-F,ALICANTE,ALICANTE/ALACANT,"FE MARIA BALLESTERO FERRER, ARANTZAZU GREDIAGA BALLESTERO","CALLE Maruja Pastor, 7, 03540",17,5,21
A-119-F,ALICANTE,ALICANTE/ALACANT,Mª DOLORES LLORET LUNA,"AVDA Historiador Vicente Ramos, 28, 03540",17,5,21
A-120-F,ALICANTE,ALICANTE/ALACANT,"MONSERRAT BOVET LOPEZ, FRANCISCO GARCIA LACAL","CALLE Reyes Catolicos, 33, 03003",17,1,21
A-121-F,ALICANTE,ALICANTE/ALACANT,SUSANA VICENTE MARTINEZ,"PLAZA Pio XII, 7, 03013",17,3,21
A-124-F,ALICANTE,ALICANTE/ALACANT,TOMAS LLORET SANCHEZ,"AVDA General Marva, 10, 03004",17,1,21
A-125-F,ALICANTE,ALICANTE/ALACANT,MARIA GRACIA RODES LLORET,"PLAZA DIVISION AZUL, 3, 03008",19,2,21
A-127-F,ALICANTE,ALICANTE/ALACANT,"JOSE RAMON BERNA CARBONELL, MARIA JESUS QUILES LLORENS","CALLE Gerona, 1A, 03001",17,2,21
A-128-F,ALICANTE,ALICANTE/ALACANT,IÑAKI MALLUGUIZA CALVO,"AVDA Alfonso el Sabio, 13, 03001",17,1,21
A-12-F,ALICANTE,ALICANTE/ALACANT,MILAGROS LOPEZ MARTINEZ,"AVDA ALCOY, 90, 03009",19,1,21
A-131-F,ALICANTE,ALICANTE/ALACANT,Mª JESÚS REDONDO MARÍN,"CALLE Virgen del Socorro, 19, 03002",17,2,21
A-135-F,ALICANTE,ALICANTE/ALACANT,ISABEL COLMEIRO AYELA,"AVDA Juan Bautista Lafora, 3, 03002",17,2,21
A-137-F,ALICANTE,ALICANTE/ALACANT,ELENA LLINARES CAMACHO,"CALLE Pedreguer, 10, 03008",19,2,21
A-143-F,ALICANTE,ALICANTE/ALACANT,LUIS ORTEGA CASTRO,"CALLE Santa Felicitas, 7, 03005",19,4,21
