ESTABLECIMIENTO,PROVINCIA,MUNICIPIO,TITULAR,DIRECCIÓN,DEPARTAMENTO DE SALUD,ZONA ZBS,ZONA FARMACÉUTICA
A-74-F,ALICANTE,ORIHUELA,MANUEL FRANCO TOMAS,"PLAZA CUBERO, 10, 03300",21,7,41
A-824-F,ALICANTE,ORIHUELA,JOAQUIN POZO GUISADO,"CALLE Jade, S/N, 03189",22,4,41
A-828-F,ALICANTE,ORIHUELA,DANIEL GOZALBO FLOR,"CALLE Sol, 15, 03300",21,6,41
A-847-F,ALICANTE,ORIHUELA,MARÍA GARCÍA MOLINA,"AVDA Doctor Garcia Rogel, 4, 03300",21,7,41
A-849-F,ALICANTE,ORIHUELA,PATRICIA MARTINEZ RODES,"CALLE Francisco Tormo de Haro, 18, 03300",21,6,41
A-851-F,ALICANTE,ORIHUELA,PILAR MARTIN NAVAS,"AVDA Vega (la), 48, 03300",22,4,41
A-854-F,ALICANTE,ORIHUELA,Mª JOSE JUST MARTINEZ,"AVDA Mar (El)-Punta Prima, 15, 03189",22,4,41
A-856-F,ALICANTE,ORIHUELA,Mª JOSE CALVO RUBIO,"CALLE Panticosa, 2, 03189",22,4,41
A-95-F,ALICANTE,ORIHUELA,MARIA ANGELES ALBANELL AVELLA,"CALLE Santa Justa, 5, 03300",21,6,41
A-529-F,ALICANTE,ORXETA,JORGE PEREZ FERNANDEZ,"CTRA Alcoy, 2, 03579",16,7,20
A-474-F,ALICANTE,PARCENT,ROSARIO FERRA MONTSERRAT,"AV Benidorm, 9, 03792",13,7,6
A-53-F,ALICANTE,PEDREGUER,HERMINIA INFANTES COSTA,"PL Doctor Calatayud, 15, 03750",13,8,4
A-643-F,ALICANTE,PEDREGUER,MERCEDES ESCANDELL PRESENCIA," URBANIZACION ""LA SELLA"", L.9-B, , 03750",13,8,4
A-73-F,ALICANTE,PEDREGUER,"MARIA GIL AGULLES, RICARDO GIL MIÑANA","AVGDA Jaume I, 67, 03750",13,8,4
A-178-F,ALICANTE,PEGO,IGNACIO PASCUAL ROVIRA,"C Ramon y Cajal, 20, 03780",13,9,7
A-328-F,ALICANTE,PEGO,"ANA ISABEL LLORCA RODRIGUEZ, MARIA JOSE LLORCA RODRIGUEZ","C Ecce-Homo, 12, 03780",13,9,7
A-45-F,ALICANTE,PEGO,ENCARNACION GARRIDO AZPIROZ,"AV Jaume I, 4, 03780",13,9,7
A-771-F,ALICANTE,PEGO,LAURA  ARCE  BUENO,"PASEO REINA SOFIA, 12, 03780",13,9,7
A-528-F,ALICANTE,PENAGUILA,ANA JULIA QUESADA MUELAS,"C La Era, 5, 03815",15,5,14
A-132-F,ALICANTE,PETRER,JUAN LUIS VILLARROYA ALBIÑANA,"CALLE Leopoldo Pardines, 16, 03610",18,7,28
A-198-F,ALICANTE,PETRER,ZENEIDA PERSEGUER TORREGROSA,"AVDA MADRID, 65, 03610",18,7,28
A-271-F,ALICANTE,PETRER,Mª TERESA PUCHE HERRERO,"CALLE Canovas del Castillo, 7, 03610",18,7,28
A-343-F,ALICANTE,PETRER,JUAN FRANCISCO CUENCA MARTINEZ,"AVDA MADRID, 39, 03610",18,7,28
A-383-F,ALICANTE,PETRER,"MARTA  PLANELLS VIDAL, JUAN PLANELLS VIDAL","CALLE GABRIEL PAYA, 52, 03610",18,7,28
A-449-F,ALICANTE,PETRER,CARLOS COVES LOPEZ,"CALLE Brigadier Algarra, 28, 03610",18,7,28
A-557-F,ALICANTE,PETRER,"CARLOS MILLA POVEDA, CARLOS MILLA BERNABE"," DAMASO NAVARRO ESQUINA SOCIEDAD UNIÃ“N MUSICAL, , 03610",18,7,28
A-739-F,ALICANTE,PETRER,CRISTINA FRANCO GIMENEZ,"PLAZA Union de Festejos, 1, 03610",18,7,28
A-740-F,ALICANTE,PETRER,ANTONIA POMARES MILLARES,"CALLE Principe de Asturias, 12, 03610",18,7,28
A-765-F,ALICANTE,PETRER,BIBIANA ANTON ASENSI,"CALLE Reyes Catolicos, 13, 03610",18,7,28
A-770-F,ALICANTE,PETRER,LETICIA TORRES GARCIA,"CALLE Unamuno, 9, 03610",18,7,28
A-799-F,ALICANTE,PETRER,ANA Mª LLORET CABALLERIA,"CALLE Novelda, 2, 03610",18,7,28
A-490-F,ALICANTE,PILAR DE LA HORADADA,LUCIA MARTINEZ SAEZ,"CALLE Mayor, 44, 03190",22,4,44
A-563-F,ALICANTE,PILAR DE LA HORADADA,FRANCISCO JAVIER MARTINEZ ANDREU,"CALLE ALBACETE, 22, 03191",22,4,44
A-587-F,ALICANTE,PILAR DE LA HORADADA,TERESA APARICIO CEGARRA,"AVDA DEL PINO S/N.URB.CAMPOVERDE, , 03190",22,4,44
A-628-F,ALICANTE,PILAR DE LA HORADADA,CARMEN HERNANDEZ MONTESINOS,"CALLE Trafalgar, 2, 03190",22,4,44
A-66-F,ALICANTE,PILAR DE LA HORADADA,RAFAEL ESPUCH LLANERAS,"CALLE Mayor, 17, 03190",22,4,44
A-787-F,ALICANTE,PILAR DE LA HORADADA,RAQUEL MARTINEZ MANZANO,"CALLE Mayor, 145, 03190",22,4,44
A-795-F,ALICANTE,PILAR DE LA HORADADA,MARIA ROSARIO DE GEA GARCIA,"AVDA , LOCAL 3, 03191",22,4,44
A-804-F,ALICANTE,PILAR DE LA HORADADA,Mª DEL MAR LORENZO BAÑON,"CALLE ALHELI (TORRE DE LA HORADADA), 21, 03190",22,4,44
A-106-F,ALICANTE,PINOS (EL)/PINOSO,"HORACIO JORGE PACHECO, ARACELI PEREZ PEREZ","CALLE Ramon y Cajal, 4, 03650",18,8,30
A-269-F,ALICANTE,PINOS (EL)/PINOSO,LAURA MAURICIO HEREDIA,"PLAZA EspaÃ±a (de), 10, 03650",18,8,30
A-843-F,ALICANTE,PINOS (EL)/PINOSO,JULIA VICENT LOPEZ,"PASEO Constitucion de (la), 57, 03650",18,8,30
A-481-F,ALICANTE,PLANES,EMILIO DONET COMPANY,"AV Ciutat de Valencia, 9, 03828",15,9,15
A-447-F,ALICANTE,POBLETS (ELS),"INMACULADA COSTA BORRAS, JUAN JOSE PASTOR PASTOR","C Joan Martorell, 9, 03779",13,11,3
A-286-F,ALICANTE,POLOP,"Mª DOLORES AZCARATE MENGUAL, MIGUEL ORTIZ AZCARATE","AVGDA Sagi - Barba, 14, 03520",16,6,19
A-575-F,ALICANTE,QUATRETONDETA,Mª ANTONIA BALDOVI TORRIJOS,"AV Pais Valencia, 9, 03811",15,5,14
A-46-F,ALICANTE,RAFAL,MARIANO CAYUELAS SANCHIS,"PLAZA Martin Salinas, 4, 03369",21,4,38
A-192-F,ALICANTE,RAFOL D'ALMUNIA (EL),Mª VICENTA CATALA GADEA,"CALLE Mayor, 2, 03769",13,7,6
A-162-F,ALICANTE,REDOVAN,MARIA TERESA FERRANDO CREMOS,"CALLE San Jeronimo, 4, 03370",21,4,38
A-756-F,ALICANTE,REDOVAN,FRANCISCO JAVIER CAMISON CRIADO,"CALLE Pascual Martinez, 35, 03370",21,4,38
A-858-F,ALICANTE,REDOVAN,ALBERTO PERIS CASTELLS,"AVDA LIBERTAD, 36, 03370",21,4,38
A-518-F,ALICANTE,RELLEU,CAROLA ALTABELLA RAMON,"C Major, 29, 03578",16,7,20
A-176-F,ALICANTE,ROJALES,FRANCISCO MUT BUIGUES,"CALLE Cuarto, 19, 03170",22,2,42
A-526-F,ALICANTE,ROJALES,MANUEL CANALES GARCIA,"CALLE Cortes Valencianas, 38, 03170",22,2,42
A-634-F,ALICANTE,ROJALES,"Mª ROSA MESEGUER FLORES, GREGORIO ADSUAR AGUILAR","CALLE Azul, 1, 03170",22,2,42
A-813-F,ALICANTE,ROJALES,DESAMPARADOS LAPIEDRA SANTAURSULA,"AVDA Regantes, de los, 49, 03170",22,2,42
A-834-F,ALICANTE,ROJALES,MARIA TERESA BARQUERO OCHOA DE RETANA,"CALLE Camilo Jose Cela, 13, 03170",22,2,42
A-83-F,ALICANTE,ROJALES,"JOSE ANGEL VARELA ALONSO, LOURDES VARELA ALONSO","CALLE Malecon del Carmen, 1, 03170",22,2,42
A-853-F,ALICANTE,ROJALES,FRANCISCO JOSE QUILES MUÑOZ,"AVDA Salamanca, 1, 03170",22,2,42
A-243-F,ALICANTE,ROMANA (LA),MARIA DEL CARMEN AGUILERA GARCIA,"CARRE Music Jose Mira Pepin, 14, 03669",18,6,29
A-533-F,ALICANTE,ROMANA (LA),FRANCISCA SANZ CARBONELL,"CALLE OSCAR ESPLA, 13, 03669",18,6,29
A-519-F,ALICANTE,SAGRA,ROSANA RAMIREZ LLORET,"AV Pego, 4, 03795",13,7,6
A-503-F,ALICANTE,SALINAS,MANUEL HERNANDEZ ARCE,"PLAZA De EspaÃ±a, 14, 03638",18,9,31
A-203-F,ALICANTE,SAN FULGENCIO,"ESPERANZA QUILES MARTINEZ, JOSE CARLOS QUILES MARTINEZ","CALLE Infanta Leonor, 8, 03177",22,1,40
A-604-F,ALICANTE,SAN FULGENCIO,FRANCISCA RUIZ LOZANO,"CALLE Amsterdan, 14, 03179",22,1,40
A-811-F,ALICANTE,SAN FULGENCIO,Mª DOLORES ESCUDERO ORTIZ,"AVDA LONDRES, EDIF.MARINA CENTRO,LOC.13, 1, 03179",22,1,40
A-837-F,ALICANTE,SAN FULGENCIO,MARIA MERCEDES PEREZ GARCIA,"PLAZA Sierra Castilla, 2, 03177",22,1,40
A-629-F,ALICANTE,SAN ISIDRO,ROBERTO MOURIÑO SANCHEZ,"RONDA Estacion (la), 9, 03349",21,1,35
A-294-F,ALICANTE,SAN MIGUEL DE SALINAS,"HUMBERTO JOSE RAMOS GALERA, BORJA MANUEL RAMOS GALERA","CALLE Diecinueve de Abril, 21, 03193",22,5,45
A-780-F,ALICANTE,SAN MIGUEL DE SALINAS,JOSEFA MARTIN DIAZ,"PLAZA Libertad (la), 6, 03193",22,5,45
A-848-F,ALICANTE,SAN MIGUEL DE SALINAS,ANTONIO JESUS FUENTES MARCHAL,"CALLE Carmelo Perez, 13, 03193",22,5,45
A-15-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,CAYETANO LUIS GUTIERREZ SOLANO,"CALLE Pelayo, 14, 03690",19,10,25
A-230-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,JOSE LUIS SAVALL CERES,"CALLE Pintor Picasso, 1, 03690",19,10,25
A-296-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,ANGEL GALIANA ROMERO,"CALLE Aviacion, 2, 03690",19,10,25
A-313-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,VICENTE VILLAGRASA ESPINOSA,"CALLE Colonia Santa Isabel, 20, 03690",19,10,25
A-412-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,JUAN JULIAN BORDALLO OREJA,"AVDA Ancha de Castelar, 143, 03690",19,10,25
A-451-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,Mª EUGENIA SANCHEZ GONZALEZ,"PLAZA Santa Faz, 3, 03690",19,10,25
A-591-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,JOSE VICENTE GUIJARRO GARCIA,"AVDA Ancha de Castelar, 80, 03690",19,10,25
A-677-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,MARIA JOSE SANCHIS BORONAT,"CALLE Doctor Fleming, 43, 03690",19,10,25
A-696-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,JUAN IVARS LILLO,"CALLE RIO TURIA, 23, 03690",19,10,25
A-711-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,MARIA CONCEPCION MONTOYA ALVAREZ,"CALLE Alicante, 82, 03690",19,10,25
A-730-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,"MANUEL MARES ARAMBUL, CARMEN MARES CALATAYUD","CALLE Vicente Savall Pascual, 1, 03690",19,10,25
A-734-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,MARIA ASUNCION BARCELO RODRIGUEZ,"CTRA Agost, 21, 03690",19,10,25
A-769-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,MARTIN ZAMORA MORALES,"CALLE Huerta (la), 152, 03690",19,10,25
A-796-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,ALBERTO BROTONS OLIVER,"CALLE Madrid, 16, 03690",19,10,25
A-806-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,MARINA GARCIA NAVARRO,"CALLE Javea, 7, 03690",19,10,25
A-827-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,MARIA AUXILIADORA ARACIL FERNANDEZ,"AV ALMASSERA (L'), 19, 03690",19,10,25
A-833-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,FRANCISCO JAVIER CANALES CACERES,"CALLE Huerta (la), 11, 03690",19,10,25
A-852-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,FRANCISCA LLINARES TELLO,"CALLE Pintor Sorolla, 26, 03690",19,10,25
A-94-F,ALICANTE,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,ENRIQUE MONTOYA ALVAREZ,"CALLE Lillo Juan, 118, 03690",19,10,25
A-547-F,ALICANTE,SANET Y NEGRALS,FRANCISCO JOSE SAPENA NOGUERA,"AVDA Ayuntamiento, 37, 03769",13,7,6
A-103-F,ALICANTE,SANT JOAN D'ALACANT,JOSE ALBERTO BORDALLO OREJA,"AVDA Rambla (la), 24, 03550",17,9,24
A-175-F,ALICANTE,SANT JOAN D'ALACANT,PABLO MARTINEZ PARDO,"AVDA RAMBLA, 66, 03550",17,9,24
A-505-F,ALICANTE,SANT JOAN D'ALACANT,Mª PAZ FERRANDIZ CERDA,"PLAZA Constitucion (la), 9, 03550",17,9,24
A-588-F,ALICANTE,SANT JOAN D'ALACANT,EMMA SUERO MORENO,"CTRA VALENCIA, KM, 89. C.C. CARREFOUR, LOCAL 1C, 03550",17,9,24
A-645-F,ALICANTE,SANT JOAN D'ALACANT,ISABEL SANCHEZ VARGAS,"PROL Maigmona, 2, 03550",17,9,24
A-703-F,ALICANTE,SANT JOAN D'ALACANT,CRISTINA PLANELLES MARTINEZ,"CALLE San Antonio, 109, 03550",17,9,24
A-789-F,ALICANTE,SANT JOAN D'ALACANT,VICENTE PUIG SENDRA,"CALLE Cristo de la Paz, 39, 03550",17,9,24
A-826-F,ALICANTE,SANT JOAN D'ALACANT,MARIA TERESA LLOPIS MIRO,"CALLE Salt (el), 4B, 03550",17,9,24
A-22-F,ALICANTE,SANTA POLA,ASUNCION BONMATI LUCERGA,"PLAZA Glorieta (la), 11, 03130",20,10,34
A-366-F,ALICANTE,SANTA POLA,INMACULADA BRU GINER,"CALLE Almirante Antequera, 5, 03130",20,10,34
A-467-F,ALICANTE,SANTA POLA,CARLOS MIRA GONZALEZ,"CALLE Mar, 2, 03130",20,10,34
A-469-F,ALICANTE,SANTA POLA,ANTONIO BONMATI LUCERGA,"CALLE Cristobal Sanz, 31, 03130",20,10,34
A-545-F,ALICANTE,SANTA POLA,"MARIA DEL CARMEN CALATAYUD CALPENA, MARIA MARES CALATAYUD","CALLE Madrid, 10, 03130",20,10,34
A-608-F,ALICANTE,SANTA POLA,JUAN JOSE BONMATI LUCERGA,"CALLE Monte de Santa Pola, 32, 03130",20,10,34
A-613-F,ALICANTE,SANTA POLA,CARMEN GARCIA QUINTANA,"AVDA Santiago Bernabeu, 19, 03130",20,10,34
A-646-F,ALICANTE,SANTA POLA,"JOSE FRANCISCO CANALES AMOROS, GONZALO CANALES MATEO","AVDA Fernando Perez Ojeda, 9, 03130",20,10,34
A-651-F,ALICANTE,SANTA POLA,ELENA BAEZA BAILE,"CALLE Gabriel Miro, 65, 03130",20,10,34
A-685-F,ALICANTE,SANTA POLA,Mª JOSÉ BONMATÍ GÓMEZ,"AVDA Vicente Blasco IbaÃ±ez, 11, 03130",20,10,34
A-753-F,ALICANTE,SANTA POLA,JOSE VICENTE TORREGROSA MACIA,"CALLE Elche, 36, 03130",20,10,34
A-819-F,ALICANTE,SANTA POLA,ANTONIA PEREZ GONZALEZ,"CALLE San Antonio, 25, 03130",20,10,34
A-323-F,ALICANTE,SAX,PEDRO SANCHEZ ALARCON,"CALLE Gran Via, 32, 03630",18,9,31
A-744-F,ALICANTE,SAX,ELENA MARTINEZ LOPEZ,"CALLE ALICANTE, 30, 03630",18,9,31
A-80-F,ALICANTE,SAX,"CONSUELO GONZALEZ GARCIA, ANA MARIA GARCIA NAVALON","CALLE Castelar, 3, 03630",18,9,31
A-512-F,ALICANTE,SELLA,JOSÉ VICENTE HERRERO RIOS,"CALLE DEL ANGEL, 3, 03579",16,7,20
A-542-F,ALICANTE,SENIJA,JOSEFA FERRER CABRERA,"PLAZA AYUNTAMIENTO, 1, 03729",13,1,1
A-522-F,ALICANTE,TARBENA,MARIA TERESA DE LAMO LAVIN,"PLAZA Santa Ana, 15, 03518",16,5,18
A-39-F,ALICANTE,TEULADA,Mª DEL PILAR CERVERO DIEZ,"CALLE MÃ‰DICO JOSÃ‰ PITARCH, 6, 03725",13,10,8
A-407-F,ALICANTE,TEULADA,VICENTE-E. GARRIDO MIRALLES,"CALLE Iglesia, 6, 03724",13,10,8
A-577-F,ALICANTE,TEULADA,JAIME LLORET LLORET,"CTRA Moraira a Calpe, 116, 03724",13,10,8
A-595-F,ALICANTE,TEULADA,ELISA GANDIA VIDAL,"AVDA PORTET (DEL), 161, 03724",13,10,8
A-786-F,ALICANTE,TEULADA,JOSE LUIS CUQUERELLA GUILLEN,"CALLE Ciudad Real, 2, 03724",13,10,8
A-797-F,ALICANTE,TEULADA,JOAQUIN LLAUDES VALERA,"PLAZA Gabriel Miro, 1, 03725",13,10,8
A-496-F,ALICANTE,TIBI,MARIA GLORIA NUÑEZ VIDAL,"AVDA LEPANTO, 2, 03109",17,7,23
A-760-F,ALICANTE,TOLLOS,Mª ANGELES ESPASA VIDALLACH,"CALLE Nueva, 12, 03813",15,5,14
A-558-F,ALICANTE,TORMOS,MATEO GINESTAR VIVES,"AVDA SAGRA, 21, 03795",13,7,6
A-516-F,ALICANTE,TORREMANZANAS/TORRE DE LES MAÇANES (LA),"ANTONIO AGULLO RODRIGUEZ, NURIA CASCALES PICO","AVDA ESPAÃ‘A, 25, 03108",17,7,23
A-100-F,ALICANTE,TORREVIEJA,NIEVES ALDEGUER GARCIA,"CALLE Ramon Gallud, 49, 03181",22,3,43
A-159-F,ALICANTE,TORREVIEJA,JOSE  VERA BELOQUI,"CALLE Jose Martinez Ruiz 'Azorin', 7, 03181",22,3,43
A-238-F,ALICANTE,TORREVIEJA,ROSARIO TORREGROSA PAREDES,"CALLE Vicente Blasco IbaÃ±ez, 17, 03181",22,3,43
A-251-F,ALICANTE,TORREVIEJA,ANGEL RASTOLL RASTOLL,"CALLE Patricio Perez, 18, 03181",22,3,43
A-423-F,ALICANTE,TORREVIEJA,JULIA VALORIA MARTINEZ,"CALLE Gumersindo, 25, 03182",22,3,43
A-471-F,ALICANTE,TORREVIEJA,PABLO VICENTE GARCIA,"CALLE Urbano Arregui, 5, 03185",22,3,43
A-491-F,ALICANTE,TORREVIEJA,Mª YOLANDA PEÑA IZQUIERDO,"AVDA Diego Ramirez Pastor, 154, 03181",22,3,43
A-561-F,ALICANTE,TORREVIEJA,NESTOR PACHECO NAVARRO," U.ROCIO MAR.VILLAS D.QUIJ. L, 8, 03180",22,3,43
A-562-F,ALICANTE,TORREVIEJA,ALFREDO CARLOS LOPEZ VILLANUEVA,"AVDA DE DESIDERIO RODRIGUEZ, 80, 03180",22,3,43
A-607-F,ALICANTE,TORREVIEJA,MARIA JOSE SANCHEZ JARA,"CALLE RAUL FERRANDEZ GIMENEZ, 27, 03186",22,3,43
A-616-F,ALICANTE,TORREVIEJA,Mª ASUNCION VICENTE GOMEZ,"CALLE Mayor, 23, 03188",22,3,43
A-640-F,ALICANTE,TORREVIEJA,"MARTA CARTAGENA PEREZ, GONZALO CARTAGENA PEREZ","CALLE Guridi -Urb la Siesta, S/N, 03184",22,3,43
A-648-F,ALICANTE,TORREVIEJA,JOSE MARIA GOMEZ GARCIA,"CALLE Salinero, 14, 03183",22,3,43
A-652-F,ALICANTE,TORREVIEJA,ALICIA MERELO-BARBERA SANROMA," GERANIO, 40, (LA TORRETA II), , 03180",22,3,43
A-681-F,ALICANTE,TORREVIEJA,"ROCIO SOLER DIAZ, JOSE MIGUEL SOLER FLORES","CALLE Ramon Gallud, 196, 03182",22,3,43
A-687-F,ALICANTE,TORREVIEJA,MONICA CORCOLES MUÑOZ,"CALLE San Policarpo, 30, 03181",22,3,43
A-691-F,ALICANTE,TORREVIEJA,FRANCISCO JAVIER MURCIA SELMA,"CALLE Fragata, 36, 03182",22,3,43
A-704-F,ALICANTE,TORREVIEJA,Mª ROSARIO PEREZ GUTIERREZ,"URB LOMAS DEL MAR ED. LOMAS PLAYA LOC. 114-115, , 03180",22,3,43
A-715-F,ALICANTE,TORREVIEJA,RODRIGO CARBAJO BOTELLA,"CALLE Antonio Machado, 115, 03182",22,3,43
A-716-F,ALICANTE,TORREVIEJA,JOSE ANTONIO MORENO SELMA,"CALLE Guardamar, 6, 03185",22,3,43
A-717-F,ALICANTE,TORREVIEJA,GONZALO CARTAGENA GARCIA,"AVDA Habaneras (de Las), 36, 03182",22,3,43
A-718-F,ALICANTE,TORREVIEJA,Mª CARMEN CAYUELAS SANCHIS,"AVDA Habaneras (de Las), 105, 03182",22,3,43
A-719-F,ALICANTE,TORREVIEJA,BEGOÑA CAYUELAS SANCHIS,"AVDA Francia, 32, 03188",22,3,43
A-720-F,ALICANTE,TORREVIEJA,FRANCISCO FERNÁNDEZ MAZARAMBROZ BERNABEU,"AVDA Diego Ramirez Pastor, 89-91, 03181",22,3,43
A-721-F,ALICANTE,TORREVIEJA,IGNACIO MUÑOZ MARTINEZ,"CALLE Suecia, 8, 03183",22,3,43
A-725-F,ALICANTE,TORREVIEJA,MANUEL JAVIER REYES CRESPO," VILLA DE BARCELONA ESQUINA SAN LUIS, , 03180",22,3,43
A-762-F,ALICANTE,TORREVIEJA,CARMEN RAMON MANRESA," C. LOS GASES, ESQ. C. VIRGEN DE LA PALOMA. LOCAL 3, , 03182",22,3,43
A-777-F,ALICANTE,TORREVIEJA,ENCARNACIÓN MASIÁ GÓMEZ,"AVDA Alfredo Nobel, 119, 03183",22,3,43
A-778-F,ALICANTE,TORREVIEJA,FRANCISCO BRU HERNANDEZ,"CALLE Monteagudo, 21, 03180",22,3,43
A-783-F,ALICANTE,TORREVIEJA,ANA MARIA SELMA VERGARA,"CALLE Angel Garcia Rogel, 2, 03183",22,3,43
A-784-F,ALICANTE,TORREVIEJA,FRANCISCO JAVIER SANCHEZ CAÑIZARES,"AVDA Mancha (de la), 21, 03183",22,3,43
A-785-F,ALICANTE,TORREVIEJA,"HORACIO JIMENEZ CALISALVO, TOMAS BALLESTER HERRERA","CALLE Francisco Atienza Ferrandez, 34, 03184",22,3,43
A-790-F,ALICANTE,TORREVIEJA,ALFREDO APARICIO GRAU,"URB Altos -Vistalmar, 97, 03185",22,3,43
A-801-F,ALICANTE,TORREVIEJA,JAVIER CARBAJO BOTELLA,"AVDA Belgica, 1, 03188",22,3,43
A-803-F,ALICANTE,TORREVIEJA,SANDRA  PELEGRIN MONTESINOS,"CALLE DIANA ESQ. C/ TRITON (C.C. TORREMARINA), LOCAL 16, 03183",22,3,43
A-807-F,ALICANTE,TORREVIEJA,MARIA REBECA IBAÑEZ MURCIA,"RONDA Jose Samper Garcia, 1, 03183",22,3,43
A-808-F,ALICANTE,TORREVIEJA,PABLO LOPEZ PEREZ,"AVDA Rosa Mazon Valero, S/N, 03183",22,3,43
A-809-F,ALICANTE,TORREVIEJA,FRANCISCO GONZALEZ RODRIGUEZ,"AVDA DE LA MANCHA,S/N, URB. AGUAS NUEVAS, C.C.ALAMEDA,LOC.7, , 03183",22,3,43
A-815-F,ALICANTE,TORREVIEJA,FRANCISCO JAVIER SANSANO GONZALEZ," ALTOS DEL LIMONAR II, PAR 6, 03184",22,3,43
A-817-F,ALICANTE,TORREVIEJA,ASUNCION CRESPO ANDRES," C.C. PUNTA MARINA LOCAL 019-1, , 03185",22,3,43
A-818-F,ALICANTE,TORREVIEJA,ALBERTO PIÑUELAS DE PABLOS,"AVDA CORTES VALENCIANAS, S/N, 03183",22,3,43
A-857-F,ALICANTE,TORREVIEJA,ROSA MARIA FONS  COSTA,"CALLE RAMON GALLUD, 88, 03182",22,3,43
A-635-F,ALICANTE,VALL D'ALCALA (LA),Mª SOLEDAD VICENS SALORT,"C Major, 3, 03788",15,9,15
A-537-F,ALICANTE,VALL DE GALLINERA,JORGE MANUEL ALCARAZ LLIN,"C Carretera, 11, 03787",13,9,7
A-520-F,ALICANTE,VALL DE LAGUAR (LA),PEDRO TORRES MUÑOZ,"C Rei en Jaume, 12, 03791",13,7,6
A-532-F,ALICANTE,VALL D'EBO (LA),MIREIA CABERO ALONSO,"PL Major, 8, 03789",13,9,7
A-101-F,ALICANTE,VERGER (EL),"NATALIA INFANTES SARTILLO, JOSE MARIA INFANTES COSTA","C Marques de Estella, 11, 03770",13,11,3
A-845-F,ALICANTE,VERGER (EL),RICARDO BAQUERO NAVARRO,"C Doctor Pedro Domenech, 17, 03770",13,11,3
A-123-F,ALICANTE,VILLAJOYOSA/VILA JOIOSA (LA),IGNACIA MARIA SOLER SENABRE,"CALLE Colon, 39, 03570",16,7,20
A-174-F,ALICANTE,VILLAJOYOSA/VILA JOIOSA (LA),Mª DEL PILAR ORTS LAZA,"CARRE Colon, 121, 03570",16,7,20
A-240-F,ALICANTE,VILLAJOYOSA/VILA JOIOSA (LA),WENCESLAO FERRANDO PEREZ,"CALLE PATI FOSC, 23, 03570",16,7,20
A-249-F,ALICANTE,VILLAJOYOSA/VILA JOIOSA (LA),ALBERTO BUXEDA TOMAS,"CARRE Canalejas, 1, 03570",16,7,20
A-384-F,ALICANTE,VILLAJOYOSA/VILA JOIOSA (LA),INMACULADA SEGRELLES LLORET,"PL PRACTICANTE GASPAR ORTUÃ‘O, 54, 03570",16,7,20
A-483-F,ALICANTE,VILLAJOYOSA/VILA JOIOSA (LA),"PABLO SOLER LLORET, ANA SOLER LLORET","AVGDA Rei Juan Carlos I, 2, 03570",16,7,20
A-559-F,ALICANTE,VILLAJOYOSA/VILA JOIOSA (LA),"GONZALO MIRA ALAMO, GONZALO MIRA GONZALEZ","CARRE RELLEU, 20, 03570",16,7,20
A-564-F,ALICANTE,VILLAJOYOSA/VILA JOIOSA (LA),"CONCHA RODRIGUEZ HERNANDEZ, PEDRO SANDOVAL RODRIGUEZ","CARRE Cervantes, 53, 03570",16,7,20
A-631-F,ALICANTE,VILLAJOYOSA/VILA JOIOSA (LA),AMAYA LUCIA GINER NADAL,"CARRE Arsenal, 44, 03570",16,7,20
A-676-F,ALICANTE,VILLAJOYOSA/VILA JOIOSA (LA),"INMACULADA FERRANDO SELLES, MARIA FERRANDO FERRANDO","AVGDA MARINERS DE LA VILA JOIOSA, 12, 03570",16,7,20
A-805-F,ALICANTE,VILLAJOYOSA/VILA JOIOSA (LA),MARIA DE LOS ANGELES GONZALEZ VALDIVIESO,"CARRE Barranquet, 14, 03570",16,7,20
